ticker,cik,list_date,delist_date,evidence_count,source_count,source_doc_types
AABA,1011006,2017-06-16,2019-10-02,3,2,Exchange Notice|Form 8-K
AACI,2092897,2026-02-17,,1,1,8-A12B
AAT,1500217,2011-01-11,,1,1,8-A12B
ABAT,1576873,2013-10-17,,1,1,8-A12G
ABCL,1703057,2020-12-08,,1,1,8-A12B
ABEO,318306,2014-11-04,2019-12-20,2,1,25-NSE|8-A12B
ABLV,1957489,2023-08-17,,1,1,8-A12B
ABOS,1576885,2021-06-28,,1,1,8-A12B
ABP,1893219,2022-01-13,2024-11-12,2,1,25-NSE|8-A12B
ABR,1253986,2013-02-01,2021-06-24,2,1,25-NSE|8-A12B
ABSI,1672688,2021-07-21,,1,1,8-A12B
ABVC,1173313,2021-08-02,,1,1,8-A12B
ABVE,1979484,2024-06-28,,1,1,8-A12B
ACB,1683541,2018-12-26,2021-05-24,2,1,25|8-A12B
ACCL,2038378,2025-10-10,,1,1,8-A12B
ACDC,1881487,2022-05-10,2023-11-07,2,1,25-NSE|8-A12B
ACEL,1698991,2017-06-26,2020-08-07,2,1,25-NSE|8-A12B
ACET,1720580,2018-01-22,,1,1,8-A12B
ACIC,1401521,2012-12-10,,1,1,8-A12B
ACIU,1651625,2016-09-23,,1,1,8-A12B
ACON,1635077,2022-04-20,2024-08-13,2,1,253G3|8-A12B
ACRE,1529377,2012-04-18,,1,1,8-A12B
ACRS,1557746,2015-10-02,,1,1,8-A12B
ACRV,1781174,2022-11-07,,1,1,8-A12B
ACTG,934549,2016-03-24,,1,1,8-A12B
ACTU,1652935,2024-06-20,,1,1,8-A12B
ACVA,1637873,2021-03-19,2025-03-14,2,1,25|8-A12B
ACXP,1736243,2021-06-23,,1,1,8-A12B
ADAM,1273685,2008-06-03,2021-12-17,2,1,25-NSE|8-A12B
ADCT,1771910,2019-09-30,,1,1,8-A12B
ADGM,2006986,2024-08-01,,1,1,8-A12B
ADIL,1513525,2017-12-11,2023-07-27,2,1,25-NSE|8-A12B
ADNT,1670541,2016-04-27,,1,1,10-12B
ADV,1776661,2019-07-17,2025-10-29,2,1,25-NSE|8-A12B
ADVB,1941029,2025-03-05,,1,1,8-A12B
AEBI,2048519,2025-05-21,,1,1,8-A12B
AEHL,1470683,2010-11-02,2012-11-16,2,1,25-NSE|8-A12B
AEI,1750106,2020-11-23,,1,1,8-A12B
AEMD,882291,2015-07-08,,1,1,8-A12B
AENT,1823584,2021-02-05,2023-03-17,2,1,25-NSE|8-A12B
AERT,1853044,2021-10-18,2023-11-07,2,1,25-NSE|8-A12B
AESI,1984060,2025-08-04,,1,1,8-A12B
AEVA,1789029,2020-01-29,2025-01-27,2,1,25|8-A12B
AEXA,2079173,2025-09-25,,1,1,8-A12B
AFYA,1771007,2019-07-17,,1,1,8-A12B
AGAE,1708341,2017-10-02,2019-09-23,2,1,25-NSE|8-A12B
AGCC,2060016,2025-10-03,,1,1,8-A12B
AGH,2009312,2025-02-05,,1,1,8-A12B
AGL,1831097,2021-04-14,,1,1,8-A12B
AGM,845877,2019-05-13,2024-07-18,2,1,25-NSE|8-A12B
AGMH,1705402,2017-11-29,,1,1,8-A12B
AGRO,1499505,2011-01-24,,1,1,8-A12B
AHCO,1725255,2018-02-15,2020-01-21,2,1,25-NSE|8-A12B
AHH,1569187,2013-05-03,,1,1,8-A12B
AHMA,2010959,2025-10-17,,1,1,8-A12B
AIEV,1912582,2022-06-15,2025-07-21,2,1,25-NSE|8-A12B
AIFF,803578,2021-11-19,,1,1,8-A12B
AIHS,1711012,2018-03-15,,1,1,8-A12B
AII,2007587,2025-05-07,,1,1,8-A12B
AIIO,1932737,2022-11-14,,1,1,8-A12B
AIMD,1014763,1996-05-30,,1,1,8-A12G
AIP,1667011,2021-10-22,,1,1,8-A12B
AIRJ,1855474,2021-12-09,2024-03-14,2,1,25-NSE|8-A12B
AIRO,1927958,2025-04-15,,1,1,8-A12B
AIRS,1870940,2021-10-27,,1,1,8-A12B
AIRT,353184,2012-03-26,2021-08-30,2,1,25-NSE|8-A12B
AISP,1842566,2021-03-16,2023-12-21,2,1,25-NSE|8-A12B
AIV,922864,2014-05-14,2019-05-17,2,1,25-NSE|8-A12B
AKAN,1888014,2022-03-11,,1,1,8-A12B
AKBA,1517022,2014-03-12,,1,1,8-A12B
AKTS,2035832,2026-01-07,,1,1,8-A12B
ALBT,1630212,2016-10-28,,1,1,8-A12G
ALDX,1341235,2014-03-04,,1,1,8-A12B
ALEC,1653087,2019-01-31,,1,1,8-A12B
ALEX,1545654,2012-04-02,2017-11-09,2,1,10-12B|25-NSE
ALF,2010930,2024-06-10,,1,1,8-A12B
ALGS,1799448,2020-10-13,,1,1,8-A12B
ALIT,1809104,2020-05-26,2021-07-06,2,1,25-NSE|8-A12B
ALLO,1737287,2018-10-05,,1,1,8-A12B
ALLR,1860657,2021-12-13,,1,1,8-A12B
ALLT,1365767,2006-11-03,,1,1,8-A12B
ALM,1670061,2025-07-07,,1,1,8-A12B
ALMS,1847367,2024-06-25,,1,1,8-A12B
ALT,1326190,2015-11-25,2017-05-05,2,1,25|8-A12B
ALTG,1759824,2019-04-05,2021-04-12,2,1,25-NSE|8-A12B
ALTI,1838615,2021-02-23,2023-06-23,2,1,25-NSE|8-A12B
ALUR,1964979,2023-08-01,,1,1,8-A12B
ALXO,1810182,2020-07-13,,1,1,8-A12B
ALZN,1677077,2021-06-11,,1,1,8-A12B
AMBQ,1500412,2025-07-25,,1,1,8-A12B
AMC,1411579,2022-08-04,2023-08-25,2,1,25-NSE|8-A12B
AMCI,1937891,2022-12-16,2025-12-09,2,1,25-NSE|8-A12B
AMIX,1617867,2024-01-26,2024-01-26,2,1,253G2|8-A12B
AMLX,1658551,2022-01-04,,1,1,8-A12B
AMOD,1862463,2021-09-01,2024-12-13,2,1,25-NSE|8-A12B
AMPG,1518461,2021-02-16,2026-02-18,2,1,25-NSE|8-A12B
AMPH,1297184,2014-06-18,,1,1,8-A12B
AMPL,1866692,2021-09-17,,1,1,8-A12B
AMPX,1899287,2022-03-01,2022-09-15,2,1,25-NSE|8-A12B
AMPY,1533924,2012-04-17,2017-05-05,2,1,25|8-A12B
AMSF,1018979,1996-09-30,,1,1,8-A12B
AMST,1807166,2020-09-23,,1,1,8-A12B
AMTB,1734342,2018-06-15,2023-08-28,2,1,10-12B|25
AMTX,738214,2014-06-03,,1,1,8-A12B
ANAB,1370053,2017-01-17,,1,1,8-A12B
ANEB,1815974,2021-05-05,2026-02-17,2,1,25|8-A12B
ANGH,1871983,2022-02-03,,1,1,8-A12B
ANGI,1705110,2017-09-28,,1,1,8-A12B
ANGX,1865200,2021-12-09,2024-04-08,2,1,25-NSE|8-A12B
ANIK,898437,2008-04-07,,1,1,8-A12B
ANIX,715446,2015-07-09,,1,1,8-A12B
ANNX,1528115,2020-07-21,,1,1,8-A12B
ANPA,2031688,2025-06-30,,1,1,8-A12B
ANRO,1999480,2024-01-30,,1,1,8-A12B
ANSC,1854149,2023-11-08,,1,1,8-A12B
ANTA,2044255,2025-05-08,,1,1,8-A12B
ANTX,1880438,2022-03-22,,1,1,8-A12B
ANVS,1477845,2020-01-28,2021-11-26,2,1,25|8-A12B
ANY,1591956,2014-07-07,,1,1,8-A12B
AOSL,1387467,2010-04-22,,1,1,8-A12B
AOUT,1808997,2020-07-02,,1,1,10-12B
AP,6176,2020-09-21,2025-08-01,2,1,25-NSE|8-A12B
APAC,2043630,2025-09-26,,1,1,8-A12B
APC,2080921,2026-02-11,,1,1,8-A12B
APCX,1070050,2019-12-10,2025-07-21,2,1,10-12B|25-NSE
APLM,1944885,2023-03-28,,1,1,8-A12B
APM,1734005,2018-12-14,,1,1,8-A12B
APPS,317788,2013-06-06,,1,1,8-A12B
APRE,1781983,2019-09-30,,1,1,8-A12B
APVO,1671584,2016-04-15,,1,1,10-12B
APWC,1026980,2011-04-15,,1,1,8-A12B
APXT,2079253,2025-10-27,,1,1,8-A12B
APYX,719135,2003-11-03,2018-12-31,2,1,25|8-A12B
AQB,1603978,2014-04-25,,1,1,10-12B
AQMS,1621832,2015-07-24,,1,1,8-A12B
AQST,1398733,2018-07-20,,1,1,8-A12B
ARAI,1818274,2025-05-12,,1,1,8-A12B
ARBB,1930179,2023-03-24,,1,1,8-A12B
ARBE,1861841,2021-10-06,,1,1,8-A12B
ARCI,2083910,2026-01-22,,1,1,8-A12B
ARCO,1508478,2011-04-07,,1,1,8-A12B
AREB,1648087,2016-12-23,2024-03-14,2,1,253G2|8-A12G
AREC,1590715,2015-06-23,,1,1,8-A12G
ARHS,1875444,2021-11-02,,1,1,8-A12B
ARI,1467760,2009-09-10,2019-06-10,2,1,25-NSE|8-A12B
ARIS,1964504,2026-02-18,2026-02-20,2,1,25|8-A12B
ARKO,1823794,2020-12-22,2025-12-19,2,1,25-NSE|8-A12B
ARL,1102238,2000-02-03,,1,1,8-A12B
ARQ,1515156,2015-02-03,2015-03-20,2,1,25-NSE|8-A12G
ARQQ,1859690,2021-09-01,,1,1,8-A12B
ARR,1428205,2020-01-28,2020-02-27,2,1,25-NSE|8-A12B
ARRY,1820721,2020-10-13,,1,1,8-A12B
ARTL,1621221,2019-06-21,2024-06-17,2,1,25-NSE|8-A12B
ARTV,1817241,2024-07-16,,1,1,8-A12B
ARVN,1655759,2018-09-21,,1,1,8-A12B
ASBP,1847345,2022-02-17,2025-02-19,2,1,25-NSE|8-A12B
ASC,1577437,2013-07-29,,1,1,8-A12B
ASIC,2040491,2025-06-11,,1,1,8-A12B
ASIX,1673985,2016-05-12,,1,1,10-12B
ASLE,1754170,2019-02-06,2021-12-30,2,1,25-NSE/A|8-A12B
ASMB,1426800,2010-11-16,,1,1,8-A12G
ASNS,1141284,2022-05-04,,1,1,8-A12B
ASPI,1921865,2022-11-09,,1,1,8-A12B
ASPN,1145986,2014-06-06,,1,1,8-A12B
ASPU,1487198,2013-11-22,2023-03-23,2,1,25|8-A12G
ASST,1920406,2023-02-02,,1,1,8-A12B
ASTC,1001907,2009-07-31,,1,1,8-A12B
ASTL,1860805,2021-10-18,,1,1,8-A12B
ASUR,884144,2005-12-19,,1,1,8-A12G
ASYS,720500,1999-06-08,,1,1,8-A12G
ATAI,1840904,2021-06-14,,1,1,8-A12B
ATCX,1684688,2026-01-06,,1,1,8-A12B
ATEN,1580808,2014-03-11,,1,1,8-A12B
ATER,1757715,2019-06-11,,1,1,8-A12B
ATEX,1304492,2015-01-30,,1,1,8-A12B
ATGL,1967621,2023-10-23,,1,1,8-A12B
ATHR,2026353,2025-04-09,,1,1,8-A12B
ATLC,1464343,2021-06-11,,1,1,8-A12B
ATLX,1540684,2022-11-08,,1,1,8-A12B
ATOM,1420520,2016-08-02,,1,1,8-A12B
ATON,1095435,2021-02-18,,1,1,8-A12B
ATOS,1488039,2012-07-24,,1,1,8-A12B
ATPC,1713210,2023-10-10,,1,1,8-A12B
ATXG,1650101,2022-08-10,,1,1,8-A12B
ATXI,1644963,2017-06-14,2025-07-18,2,1,25-NSE|8-A12B
ATYR,1339970,2015-05-06,,1,1,8-A12B
AUNA,1799207,2024-03-20,,1,1,8-A12B
