ticker,has_any_event,has_listed_event,has_delist_signal_event,has_lifecycle_list_date,has_lifecycle_delist_date,gap_missing_any_event,gap_missing_listed_event,gap_missing_delist_signal_event,gap_missing_lifecycle_list_date,gap_missing_lifecycle_delist_date
AABA,true,true,true,true,true,false,false,false,false,false
AAC,false,false,false,false,false,true,true,true,true,true
AACI,true,true,false,true,false,false,false,true,false,true
AACQ,false,false,false,false,false,true,true,true,true,true
AACT,false,false,false,false,false,true,true,true,true,true
AAGR,false,false,false,false,false,true,true,true,true,true
AAI,false,false,false,false,false,true,true,true,true,true
AAIC,false,false,false,false,false,true,true,true,true,true
AAM,false,false,false,false,false,true,true,true,true,true
AAME,false,false,false,false,false,true,true,true,true,true
AAN,false,false,false,false,false,true,true,true,true,true
AAQC,false,false,false,false,false,true,true,true,true,true
AAT,true,true,false,true,false,false,false,true,false,true
AAV,false,false,false,false,false,true,true,true,true,true
AAWW,false,false,false,false,false,true,true,true,true,true
ABAT,true,true,false,true,false,false,false,true,false,true
ABAX,false,false,false,false,false,true,true,true,true,true
ABCD,false,false,false,false,false,true,true,true,true,true
ABCL,true,true,false,true,false,false,false,true,false,true
ABCO,false,false,false,false,false,true,true,true,true,true
ABEO,true,true,true,true,true,false,false,false,false,false
ABGI,false,false,false,false,false,true,true,true,true,true
ABH,false,false,false,false,false,true,true,true,true,true
ABIL,false,false,false,false,false,true,true,true,true,true
ABIO,false,false,false,false,false,true,true,true,true,true
ABK,false,false,false,false,false,true,true,true,true,true
ABL,false,false,false,false,false,true,true,true,true,true
ABLV,true,true,false,true,false,false,false,true,false,true
ABMD,false,false,false,false,false,true,true,true,true,true
ABN,false,false,false,false,false,true,true,true,true,true
ABOS,true,true,false,true,false,false,false,true,false,true
ABP,true,true,true,true,true,false,false,false,false,false
ABR,true,true,true,true,true,false,false,false,false,false
ABS,false,false,false,false,false,true,true,true,true,true
ABSI,true,true,false,true,false,false,false,true,false,true
ABST,false,false,false,false,false,true,true,true,true,true
ABTL,false,false,false,false,false,true,true,true,true,true
ABTS,false,false,false,false,false,true,true,true,true,true
ABTX,false,false,false,false,false,true,true,true,true,true
ABUS,false,false,false,false,false,true,true,true,true,true
ABV,false,false,false,false,false,true,true,true,true,true
ABVC,true,true,false,true,false,false,false,true,false,true
ABVE,true,true,false,true,false,false,false,true,false,true
ABVT,false,false,false,false,false,true,true,true,true,true
ABY,false,false,false,false,false,true,true,true,true,true
ACAB,false,false,false,false,false,true,true,true,true,true
ACAC,false,false,false,false,false,true,true,true,true,true
ACAH,false,false,false,false,false,true,true,true,true,true
ACAM,false,false,false,false,false,true,true,true,true,true
ACAS,false,false,false,false,false,true,true,true,true,true
ACB,true,true,true,true,true,false,false,false,false,false
ACC,false,false,false,false,false,true,true,true,true,true
ACCD,false,false,false,false,false,true,true,true,true,true
ACCL,true,true,false,true,false,false,false,true,false,true
ACCO,false,false,false,false,false,true,true,true,true,true
ACDC,true,true,true,true,true,false,false,false,false,false
ACE,false,false,false,false,false,true,true,true,true,true
ACEL,true,true,true,true,true,false,false,false,false,false
ACER,false,false,false,false,false,true,true,true,true,true
ACET,true,true,false,true,false,false,false,true,false,true
ACEV,false,false,false,false,false,true,true,true,true,true
ACF,false,false,false,false,false,true,true,true,true,true
ACFC,false,false,false,false,false,true,true,true,true,true
ACG,false,false,false,false,false,true,true,true,true,true
ACGN,false,false,false,false,false,true,true,true,true,true
ACHC,false,false,false,false,false,true,true,true,true,true
ACHN,false,false,false,false,false,true,true,true,true,true
ACHV,false,false,false,false,false,true,true,true,true,true
ACIA,false,false,false,false,false,true,true,true,true,true
ACIC,true,true,false,true,false,false,false,true,false,true
ACIU,true,true,false,true,false,false,false,true,false,true
ACL,false,false,false,false,false,true,true,true,true,true
ACMP,false,false,false,false,false,true,true,true,true,true
ACND,false,false,false,false,false,true,true,true,true,true
ACO,false,false,false,false,false,true,true,true,true,true
ACON,true,true,true,true,true,false,false,false,false,false
ACOR,false,false,false,false,false,true,true,true,true,true
ACPW,false,false,false,false,false,true,true,true,true,true
ACQR,false,false,false,false,false,true,true,true,true,true
ACRE,true,true,false,true,false,false,false,true,false,true
ACRO,false,false,false,false,false,true,true,true,true,true
ACRS,true,true,false,true,false,false,false,true,false,true
ACRV,true,true,false,true,false,false,false,true,false,true
ACS,false,false,false,false,false,true,true,true,true,true
ACSF,false,false,false,false,false,true,true,true,true,true
ACTA,false,false,false,false,false,true,true,true,true,true
ACTC,false,false,false,false,false,true,true,true,true,true
ACTD,false,false,false,false,false,true,true,true,true,true
ACTG,true,true,false,true,false,false,false,true,false,true
ACTT,false,false,false,false,false,true,true,true,true,true
ACTU,true,true,false,true,false,false,false,true,false,true
ACUR,false,false,false,false,false,true,true,true,true,true
ACVA,true,true,true,true,true,false,false,false,false,false
ACW,false,false,false,false,false,true,true,true,true,true
ACXM,false,false,false,false,false,true,true,true,true,true
ACXP,true,true,false,true,false,false,false,true,false,true
ADAL,false,false,false,false,false,true,true,true,true,true
ADAM,true,true,true,true,true,false,false,false,false,false
ADCT,true,true,false,true,false,false,false,true,false,true
ADD,false,false,false,false,false,true,true,true,true,true
ADEA,false,false,false,false,false,true,true,true,true,true
ADER,false,false,false,false,false,true,true,true,true,true
ADF,false,false,false,false,false,true,true,true,true,true
ADGM,true,true,false,true,false,false,false,true,false,true
ADHD,false,false,false,false,false,true,true,true,true,true
ADIL,true,true,true,true,true,false,false,false,false,false
ADMP,false,false,false,false,false,true,true,true,true,true
ADMS,false,false,false,false,false,true,true,true,true,true
ADN,false,false,false,false,false,true,true,true,true,true
ADNT,true,true,false,true,false,false,false,true,false,true
ADO,false,false,false,false,false,true,true,true,true,true
ADOM,false,false,false,false,false,true,true,true,true,true
ADRO,false,false,false,false,false,true,true,true,true,true
ADSW,false,false,false,false,false,true,true,true,true,true
ADTH,false,false,false,false,false,true,true,true,true,true
ADTN,true,false,true,false,false,false,true,false,true,true
ADTX,true,true,true,false,false,false,false,false,true,true
ADV,true,true,true,true,true,false,false,false,false,false
ADVB,true,true,false,true,false,false,false,true,false,true
ADVM,false,false,false,false,false,true,true,true,true,true
ADXS,false,false,false,false,false,true,true,true,true,true
ADY,false,false,false,false,false,true,true,true,true,true
AEA,false,false,false,false,false,true,true,true,true,true
AEBI,true,true,false,true,false,false,false,true,false,true
AEC,false,false,false,false,false,true,true,true,true,true
AEGN,false,false,false,false,false,true,true,true,true,true
AEGR,false,false,false,false,false,true,true,true,true,true
AEHA,false,false,false,false,false,true,true,true,true,true
AEHL,true,true,true,true,true,false,false,false,false,false
AEHR,false,false,false,false,false,true,true,true,true,true
AEI,true,true,false,true,false,false,false,true,false,true
AEL,false,false,false,false,false,true,true,true,true,true
AEMD,true,true,false,true,false,false,false,true,false,true
AENT,true,true,true,true,true,false,false,false,false,false
AEPPZ,false,false,false,false,false,true,true,true,true,true
AERC,false,false,false,false,false,true,true,true,true,true
AERI,false,false,false,false,false,true,true,true,true,true
AERT,true,true,true,true,true,false,false,false,false,false
AESI,true,true,false,true,false,false,false,true,false,true
AET,false,false,false,false,false,true,true,true,true,true
AETI,false,false,false,false,false,true,true,true,true,true
AEVA,true,true,true,true,true,false,false,false,false,false
AEXA,true,true,false,true,false,false,false,true,false,true
AEY,false,false,false,false,false,true,true,true,true,true
AF,false,false,false,false,false,true,true,true,true,true
AFAM,false,false,false,false,false,true,true,true,true,true
AFH,false,false,false,false,false,true,true,true,true,true
AFI,false,false,false,false,false,true,true,true,true,true
AFIB,false,false,false,false,false,true,true,true,true,true
AFIN,false,false,false,false,false,true,true,true,true,true
AFMD,false,false,false,false,false,true,true,true,true,true
AFN,false,false,false,false,false,true,true,true,true,true
AFR,false,false,false,false,false,true,true,true,true,true
AFSI,false,false,false,false,false,true,true,true,true,true
AFYA,true,true,false,true,false,false,false,true,false,true
AGAC,false,false,false,false,false,true,true,true,true,true
AGAE,true,true,true,true,true,false,false,false,false,false
AGBA,false,false,false,false,false,true,true,true,true,true
AGC,false,false,false,false,false,true,true,true,true,true
AGCB,false,false,false,false,false,true,true,true,true,true
AGCC,true,true,false,true,false,false,false,true,false,true
AGEN,false,false,false,false,false,true,true,true,true,true
AGFS,false,false,false,false,false,true,true,true,true,true
AGFY,false,false,false,false,false,true,true,true,true,true
AGGR,false,false,false,false,false,true,true,true,true,true
AGH,true,true,false,true,false,false,false,true,false,true
AGIL,false,false,false,false,false,true,true,true,true,true
AGL,true,true,false,true,false,false,false,true,false,true
AGM,true,true,true,true,true,false,false,false,false,false
AGMH,true,true,false,true,false,false,false,true,false,true
AGN,false,false,false,false,false,true,true,true,true,true
AGP,false,false,false,false,false,true,true,true,true,true
AGR,false,false,false,false,false,true,true,true,true,true
AGR.A,false,false,false,false,false,true,true,true,true,true
