ticker,cik,event_type,event_date,source_name,source_doc_type,source_url,source_title,notes
AACI,2092897,listed,2026-02-17,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/2092897/000119312526054605/d833943d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
AAT,1500217,listed,2011-01-11,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1500217/000119312511005904/d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABAT,1576873,listed,2013-10-17,SEC,8-A12G,https://www.sec.gov/Archives/edgar/data/1576873/000157687313000024/body_oroplataresources8a12g.htm,SEC 8-A12G filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABCL,1703057,listed,2020-12-08,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1703057/000119312520312822/d31585d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABEO,318306,listed,2014-11-04,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/318306/000114420414065030/v393203_8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABEO,318306,delisted,2019-12-20,SEC,25-NSE,https://www.sec.gov/Archives/edgar/data/318306/000135445719000674/xslF25X02/primary_doc.xml,SEC 25-NSE filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABLV,1957489,listed,2023-08-17,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1957489/000121390023068414/ea183724-8a12b_ableview.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABOS,1576885,listed,2021-06-28,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1576885/000119312521201591/d148789d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABP,1893219,listed,2022-01-13,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1893219/000119312522008416/d295018d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABP,1893219,delisted,2024-11-12,SEC,25-NSE,https://www.sec.gov/Archives/edgar/data/1893219/000135445724000863/xslF25X02/primary_doc.xml,SEC 25-NSE filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABR,1253986,listed,2013-02-01,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1253986/000110465913006587/a13-4136_28a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABR,1253986,delisted,2021-06-24,SEC,25-NSE,https://www.sec.gov/Archives/edgar/data/1253986/000087666121000933/xslF25X02/primary_doc.xml,SEC 25-NSE filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABSI,1672688,listed,2021-07-21,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1672688/000162828021014135/absci-form8xa.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABVC,1173313,listed,2021-08-02,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1173313/000121390021039717/ea144954-8a12b_abvcbiopharma.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ABVE,1979484,listed,2024-06-28,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1979484/000110465924076195/tm2418395d1_8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ACB,1683541,listed,2018-12-26,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1683541/000106299318005148/form8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ACB,1683541,delisted,2021-05-24,SEC,25,https://www.sec.gov/Archives/edgar/data/1683541/000119312521170926/d107262d25.htm,SEC 25 filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ACCL,2038378,listed,2025-10-10,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/2038378/000121390025097998/ea0260912-8a12b_accogroup.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ACDC,1881487,listed,2022-05-10,SEC,8-A12B,https://www.sec.gov/Archives/edgar/data/1881487/000119312522146181/d290899d8a12b.htm,SEC 8-A12B filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
ACDC,1881487,delisted,2023-11-07,SEC,25-NSE,https://www.sec.gov/Archives/edgar/data/1881487/000135445723000816/xslF25X02/primary_doc.xml,SEC 25-NSE filing (auto candidate),AUTO_CANDIDATE_FROM_SEC_SUBMISSIONS_NOT_FINAL
