field,non_null,rows,coverage_pct
final_round_lot,15978,15979,99.99
final_ticker_root,15978,15979,99.99
final_cik,15385,15979,96.28
final_share_class_shares_outstanding,15245,15979,95.41
final_phone_number,11643,15979,72.86
final_address_address1,11641,15979,72.85
final_address_city,11641,15979,72.85
final_address_postal_code,11572,15979,72.42
final_address_state,11556,15979,72.32
final_sic_code,11528,15979,72.14
final_delisted_utc,10724,15979,67.11
final_list_date,10643,15979,66.61
final_weighted_shares_outstanding,10495,15979,65.68
final_market_cap,10454,15979,65.42
final_composite_figi,9623,15979,60.22
final_share_class_figi,9616,15979,60.18
final_description,8896,15979,55.67
final_homepage_url,8489,15979,53.13
final_total_employees,7598,15979,47.55
final_branding_logo_url,5656,15979,35.4
final_branding_icon_url,4173,15979,26.12
final_ticker_suffix,734,15979,4.59
