snapshot_date,rows_raw,rows_dedup,entities,dupes_by_snapshot_entity,null_entity_id,null_composite_figi,null_share_class_figi
2005-01-01,2632,2632,2632,0,0,1599,1599
2005-01-02,2632,2632,2632,0,0,1599,1599
2005-01-03,2630,2630,2630,0,0,1597,1597
2005-01-04,2630,2630,2630,0,0,1597,1597
2005-01-05,2631,2630,2630,1,0,1597,1597
2005-01-06,2631,2631,2631,0,0,1598,1598
2005-01-07,2632,2632,2632,0,0,1598,1598
2005-01-08,2632,2632,2632,0,0,1598,1598
2005-01-09,2632,2632,2632,0,0,1598,1598
2005-01-10,2632,2632,2632,0,0,1598,1598
2005-01-11,2632,2632,2632,0,0,1598,1598
2005-01-12,2632,2632,2632,0,0,1598,1598
2005-01-13,2633,2633,2633,0,0,1599,1599
2005-01-14,2633,2633,2633,0,0,1599,1599
2005-01-15,2633,2633,2633,0,0,1599,1599
2005-01-16,2633,2633,2633,0,0,1599,1599
2005-01-17,2633,2633,2633,0,0,1599,1599
2005-01-18,2633,2633,2633,0,0,1599,1599
2005-01-19,2635,2635,2635,0,0,1601,1601
2005-01-20,2635,2635,2635,0,0,1601,1601
2005-01-21,2635,2635,2635,0,0,1599,1599
2005-01-22,2635,2635,2635,0,0,1599,1599
2005-01-23,2635,2635,2635,0,0,1599,1599
2005-01-24,2633,2633,2633,0,0,1598,1598
2005-01-25,2633,2633,2633,0,0,1598,1598
2005-01-26,2633,2633,2633,0,0,1598,1598
2005-01-27,2638,2638,2638,0,0,1602,1602
2005-01-28,2639,2639,2639,0,0,1602,1602
2005-01-29,2639,2639,2639,0,0,1602,1602
2005-01-30,2639,2639,2639,0,0,1602,1602
2005-01-31,2639,2639,2639,0,0,1602,1602
2005-02-01,2639,2639,2639,0,0,1602,1602
2005-02-02,2639,2639,2639,0,0,1602,1602
2005-02-03,2638,2638,2638,0,0,1601,1601
2005-02-04,2640,2640,2640,0,0,1603,1603
2005-02-05,2640,2640,2640,0,0,1603,1603
2005-02-06,2640,2640,2640,0,0,1603,1603
2005-02-07,2639,2639,2639,0,0,1602,1602
2005-02-08,2638,2638,2638,0,0,1601,1601
2005-02-09,2641,2641,2641,0,0,1602,1602
2005-02-10,2643,2643,2643,0,0,1603,1603
2005-02-11,2644,2644,2644,0,0,1603,1603
2005-02-12,2644,2644,2644,0,0,1603,1603
2005-02-13,2644,2644,2644,0,0,1603,1603
2005-02-14,2644,2644,2644,0,0,1603,1603
2005-02-15,2646,2646,2646,0,0,1604,1604
2005-02-16,2647,2647,2647,0,0,1605,1605
2005-02-17,2648,2648,2648,0,0,1605,1605
2005-02-18,2648,2648,2648,0,0,1605,1605
2005-02-19,2648,2648,2648,0,0,1605,1605
2005-02-20,2648,2648,2648,0,0,1605,1605
2005-02-21,2648,2648,2648,0,0,1605,1605
2005-02-22,2647,2647,2647,0,0,1604,1604
2005-02-23,2645,2645,2645,0,0,1602,1602
2005-02-24,2646,2646,2646,0,0,1602,1602
2005-02-25,2646,2646,2646,0,0,1602,1602
2005-02-26,2646,2646,2646,0,0,1602,1602
2005-02-27,2646,2646,2646,0,0,1602,1602
2005-02-28,2645,2645,2645,0,0,1601,1601
2005-03-01,2643,2643,2643,0,0,1599,1599
2005-03-02,2643,2643,2643,0,0,1599,1599
2005-03-03,2642,2642,2642,0,0,1598,1598
2005-03-04,2642,2642,2642,0,0,1598,1598
2005-03-05,2642,2642,2642,0,0,1598,1598
2005-03-06,2642,2642,2642,0,0,1598,1598
2005-03-07,2643,2643,2643,0,0,1599,1599
2005-03-08,2643,2643,2643,0,0,1599,1599
2005-03-09,2643,2643,2643,0,0,1599,1599
2005-03-10,2643,2643,2643,0,0,1599,1599
2005-03-11,2642,2642,2642,0,0,1598,1598
2005-03-12,2642,2642,2642,0,0,1598,1598
2005-03-13,2642,2642,2642,0,0,1598,1598
2005-03-14,2640,2640,2640,0,0,1596,1596
2005-03-15,2640,2640,2640,0,0,1596,1596
2005-03-16,2640,2640,2640,0,0,1596,1596
2005-03-17,2641,2641,2641,0,0,1597,1597
2005-03-18,2643,2643,2643,0,0,1599,1599
2005-03-19,2643,2643,2643,0,0,1599,1599
2005-03-20,2643,2643,2643,0,0,1599,1599
2005-03-21,2643,2643,2643,0,0,1599,1599
2005-03-22,2642,2642,2642,0,0,1598,1598
2005-03-23,2641,2641,2641,0,0,1597,1597
2005-03-24,2641,2641,2641,0,0,1597,1597
2005-03-25,2641,2641,2641,0,0,1597,1597
2005-03-26,2641,2641,2641,0,0,1597,1597
2005-03-27,2641,2641,2641,0,0,1597,1597
2005-03-28,2640,2640,2640,0,0,1596,1596
2005-03-29,2645,2645,2645,0,0,1600,1600
2005-03-30,2645,2645,2645,0,0,1600,1600
2005-03-31,2645,2645,2645,0,0,1600,1600
2005-04-01,2645,2645,2645,0,0,1600,1600
2005-04-02,2645,2645,2645,0,0,1600,1600
2005-04-03,2645,2645,2645,0,0,1600,1600
2005-04-04,2644,2644,2644,0,0,1599,1599
2005-04-05,2644,2644,2644,0,0,1599,1599
2005-04-06,2645,2645,2645,0,0,1600,1600
2005-04-07,2644,2644,2644,0,0,1599,1599
2005-04-08,2642,2642,2642,0,0,1597,1597
2005-04-09,2642,2642,2642,0,0,1597,1597
2005-04-10,2642,2642,2642,0,0,1597,1597
2005-04-11,2641,2641,2641,0,0,1596,1596
2005-04-12,2641,2641,2641,0,0,1596,1596
2005-04-13,2641,2641,2641,0,0,1596,1596
2005-04-14,2641,2641,2641,0,0,1596,1596
2005-04-15,2642,2642,2642,0,0,1597,1597
2005-04-16,2642,2642,2642,0,0,1597,1597
2005-04-17,2642,2642,2642,0,0,1597,1597
2005-04-18,2640,2640,2640,0,0,1595,1595
2005-04-19,2638,2638,2638,0,0,1593,1593
2005-04-20,2637,2637,2637,0,0,1592,1592
2005-04-21,2637,2637,2637,0,0,1592,1592
2005-04-22,2637,2637,2637,0,0,1592,1592
2005-04-23,2637,2637,2637,0,0,1592,1592
2005-04-24,2637,2637,2637,0,0,1592,1592
2005-04-25,2637,2637,2637,0,0,1592,1592
2005-04-26,2638,2638,2638,0,0,1593,1593
2005-04-27,2642,2642,2642,0,0,1596,1596
2005-04-28,2642,2642,2642,0,0,1596,1596
2005-04-29,2642,2642,2642,0,0,1596,1596
2005-04-30,2642,2642,2642,0,0,1596,1596
2005-05-01,2642,2642,2642,0,0,1596,1596
2005-05-02,2642,2641,2641,1,0,1595,1595
2005-05-03,2641,2641,2641,0,0,1595,1595
2005-05-04,2642,2642,2642,0,0,1596,1596
2005-05-05,2645,2645,2645,0,0,1599,1599
2005-05-06,2646,2646,2646,0,0,1600,1600
2005-05-07,2646,2646,2646,0,0,1600,1600
2005-05-08,2646,2646,2646,0,0,1600,1600
2005-05-09,2646,2646,2646,0,0,1600,1600
2005-05-10,2647,2647,2647,0,0,1601,1601
2005-05-11,2648,2648,2648,0,0,1602,1602
2005-05-12,2648,2648,2648,0,0,1602,1602
2005-05-13,2647,2647,2647,0,0,1601,1601
2005-05-14,2647,2647,2647,0,0,1601,1601
2005-05-15,2647,2647,2647,0,0,1601,1601
2005-05-16,2647,2647,2647,0,0,1601,1601
2005-05-17,2647,2647,2647,0,0,1601,1601
2005-05-18,2646,2646,2646,0,0,1600,1600
2005-05-19,2646,2646,2646,0,0,1600,1600
2005-05-20,2646,2646,2646,0,0,1600,1600
2005-05-21,2646,2646,2646,0,0,1600,1600
2005-05-22,2646,2646,2646,0,0,1600,1600
2005-05-23,2645,2645,2645,0,0,1599,1599
2005-05-24,2644,2644,2644,0,0,1598,1598
2005-05-25,2645,2645,2645,0,0,1599,1599
2005-05-26,2648,2648,2648,0,0,1598,1598
2005-05-27,2648,2648,2648,0,0,1598,1598
2005-05-28,2648,2648,2648,0,0,1598,1598
2005-05-29,2648,2648,2648,0,0,1598,1598
2005-05-30,2648,2648,2648,0,0,1598,1598
2005-05-31,2646,2646,2646,0,0,1596,1596
2005-06-01,2646,2646,2646,0,0,1596,1596
2005-06-02,2646,2646,2646,0,0,1596,1596
2005-06-03,2646,2646,2646,0,0,1596,1596
2005-06-04,2646,2646,2646,0,0,1596,1596
2005-06-05,2646,2646,2646,0,0,1596,1596
2005-06-06,2645,2645,2645,0,0,1594,1594
2005-06-07,2645,2645,2645,0,0,1594,1594
2005-06-08,2644,2644,2644,0,0,1593,1593
2005-06-09,2643,2643,2643,0,0,1592,1592
2005-06-10,2642,2642,2642,0,0,1591,1591
2005-06-11,2642,2642,2642,0,0,1591,1591
2005-06-12,2642,2642,2642,0,0,1591,1591
2005-06-13,2642,2642,2642,0,0,1591,1591
2005-06-14,2641,2641,2641,0,0,1590,1590
2005-06-15,2641,2641,2641,0,0,1590,1590
2005-06-16,2642,2642,2642,0,0,1590,1590
2005-06-17,2642,2642,2642,0,0,1590,1590
2005-06-18,2642,2642,2642,0,0,1590,1590
2005-06-19,2642,2642,2642,0,0,1590,1590
2005-06-20,2642,2642,2642,0,0,1590,1590
2005-06-21,2641,2641,2641,0,0,1589,1589
2005-06-22,2641,2641,2641,0,0,1589,1589
2005-06-23,2640,2640,2640,0,0,1588,1588
2005-06-24,2642,2642,2642,0,0,1589,1589
2005-06-25,2642,2642,2642,0,0,1589,1589
2005-06-26,2642,2642,2642,0,0,1589,1589
2005-06-27,2639,2639,2639,0,0,1586,1586
2005-06-28,2644,2643,2643,1,0,1589,1589
2005-06-29,2647,2647,2647,0,0,1593,1593
2005-06-30,2648,2648,2648,0,0,1593,1593
2005-07-01,2648,2648,2648,0,0,1592,1592
2005-07-02,2648,2648,2648,0,0,1592,1592
2005-07-03,2648,2648,2648,0,0,1592,1592
2005-07-04,2648,2648,2648,0,0,1592,1592
2005-07-05,2643,2643,2643,0,0,1587,1587
2005-07-06,2643,2643,2643,0,0,1587,1587
2005-07-07,2642,2642,2642,0,0,1586,1586
2005-07-08,2643,2643,2643,0,0,1586,1586
2005-07-09,2643,2643,2643,0,0,1586,1586
2005-07-10,2643,2643,2643,0,0,1586,1586
2005-07-11,2643,2643,2643,0,0,1586,1586
2005-07-12,2643,2643,2643,0,0,1586,1586
2005-07-13,2643,2643,2643,0,0,1586,1586
2005-07-14,2643,2643,2643,0,0,1586,1586
2005-07-15,2643,2643,2643,0,0,1586,1586
2005-07-16,2643,2643,2643,0,0,1586,1586
2005-07-17,2643,2643,2643,0,0,1586,1586
2005-07-18,2642,2642,2642,0,0,1585,1585
2005-07-19,2643,2643,2643,0,0,1586,1586
2005-07-20,2643,2643,2643,0,0,1585,1585
2005-07-21,2644,2644,2644,0,0,1585,1585
2005-07-22,2644,2644,2644,0,0,1585,1585
2005-07-23,2644,2644,2644,0,0,1585,1585
2005-07-24,2644,2644,2644,0,0,1585,1585
2005-07-25,2642,2642,2642,0,0,1583,1583
2005-07-26,2643,2643,2643,0,0,1584,1584
2005-07-27,2647,2647,2647,0,0,1588,1588
2005-07-28,2648,2648,2648,0,0,1589,1589
2005-07-29,2648,2648,2648,0,0,1589,1589
2005-07-30,2648,2648,2648,0,0,1589,1589
2005-07-31,2648,2648,2648,0,0,1589,1589
2005-08-01,2641,2641,2641,0,0,1582,1582
2005-08-02,2642,2642,2642,0,0,1583,1583
2005-08-03,2642,2642,2642,0,0,1583,1583
2005-08-04,2642,2642,2642,0,0,1583,1583
2005-08-05,2643,2643,2643,0,0,1582,1582
2005-08-06,2643,2643,2643,0,0,1582,1582
2005-08-07,2643,2643,2643,0,0,1582,1582
2005-08-08,2641,2641,2641,0,0,1580,1580
2005-08-09,2644,2644,2644,0,0,1582,1582
2005-08-10,2645,2645,2645,0,0,1583,1583
2005-08-11,2648,2648,2648,0,0,1585,1585
2005-08-12,2647,2647,2647,0,0,1584,1584
2005-08-13,2647,2647,2647,0,0,1584,1584
2005-08-14,2647,2647,2647,0,0,1584,1584
2005-08-15,2647,2647,2647,0,0,1584,1584
2005-08-16,2647,2647,2647,0,0,1584,1584
2005-08-17,2648,2648,2648,0,0,1585,1585
2005-08-18,2648,2648,2648,0,0,1586,1586
2005-08-19,2648,2648,2648,0,0,1586,1586
2005-08-20,2648,2648,2648,0,0,1586,1586
2005-08-21,2648,2648,2648,0,0,1586,1586
2005-08-22,2649,2649,2649,0,0,1586,1586
