snapshot_date,rows_raw,rows_dedup,entities,dupes_by_snapshot_entity,null_entity_id,null_composite_figi,null_share_class_figi
2026-01-01,5230,5230,5230,0,0,1013,1013
2026-01-02,5227,5227,5227,0,0,1012,1012
2026-01-03,5227,5227,5227,0,0,1012,1012
2026-01-04,5227,5227,5227,0,0,1012,1012
2026-01-05,5223,5223,5223,0,0,1013,1013
2026-01-06,5225,5225,5225,0,0,1015,1015
2026-01-07,5222,5222,5222,0,0,1013,1013
2026-01-08,5223,5223,5223,0,0,1013,1013
2026-01-09,5226,5226,5226,0,0,1015,1015
2026-01-10,5226,5226,5226,0,0,1015,1015
2026-01-11,5226,5226,5226,0,0,1015,1015
2026-01-12,5224,5224,5224,0,0,1015,1015
2026-01-13,5226,5226,5226,0,0,1016,1016
2026-01-14,5225,5225,5225,0,0,1016,1016
2026-01-15,5228,5228,5228,0,0,1018,1019
2026-01-16,5227,5227,5227,0,0,1018,1019
2026-01-17,5227,5227,5227,0,0,1018,1019
2026-01-18,5227,5227,5227,0,0,1018,1019
2026-01-19,5227,5227,5227,0,0,1018,1019
2026-01-20,5226,5226,5226,0,0,1021,1022
2026-01-21,5226,5226,5226,0,0,1021,1022
2026-01-22,5225,5225,5225,0,0,1021,1022
2026-01-23,5229,5229,5229,0,0,1024,1025
2026-01-24,5229,5229,5229,0,0,1024,1025
2026-01-25,5229,5229,5229,0,0,1024,1025
2026-01-26,5232,5232,5232,0,0,1026,1027
2026-01-27,5236,5236,5236,0,0,1028,1029
2026-01-28,5240,5240,5240,0,0,1029,1030
2026-01-29,5242,5242,5242,0,0,1031,1032
2026-01-30,5242,5242,5242,0,0,1031,1032
2026-01-31,5242,5242,5242,0,0,1031,1032
2026-02-01,5243,5243,5243,0,0,1032,1033
2026-02-02,5243,5243,5243,0,0,1034,1035
2026-02-03,5242,5242,5242,0,0,1036,1037
2026-02-04,5241,5241,5241,0,0,1037,1038
2026-02-05,5244,5244,5244,0,0,1039,1040
2026-02-06,5248,5248,5248,0,0,1042,1043
2026-02-07,5248,5248,5248,0,0,1042,1043
2026-02-08,5248,5248,5248,0,0,1042,1043
2026-02-09,5250,5250,5250,0,0,1043,1044
2026-02-10,5251,5251,5251,0,0,1045,1046
2026-02-11,5250,5250,5250,0,0,1045,1046
2026-02-12,5252,5252,5252,0,0,1047,1048
2026-02-13,5251,5251,5251,0,0,1046,1047
2026-02-14,5251,5251,5251,0,0,1046,1047
2026-02-15,5251,5251,5251,0,0,1046,1047
2026-02-16,5251,5251,5251,0,0,1046,1047
2026-02-17,5248,5248,5248,0,0,1045,1046
2026-02-18,5249,5249,5249,0,0,1046,1047
2026-02-19,5250,5250,5250,0,0,1047,1048
2026-02-20,5253,5253,5253,0,0,1048,1049
2026-02-21,5253,5253,5253,0,0,1048,1049
2026-02-22,5253,5253,5253,0,0,1048,1049
2026-02-23,5252,5252,5252,0,0,1048,1049
2026-02-24,5254,5254,5254,0,0,1049,1050
2026-02-25,5255,5255,5255,0,0,1050,1051
2026-02-26,5257,5257,5257,0,0,1051,1052
2026-02-27,5262,5262,5262,0,0,1055,1056
2026-02-28,5262,5262,5262,0,0,1055,1056
2026-03-01,5262,5262,5262,0,0,1055,1056
2026-03-02,5263,5263,5263,0,0,1056,1057
2026-03-03,5260,5260,5260,0,0,1055,1056
2026-03-04,5258,5258,5258,0,0,1055,1056
2026-03-05,5256,5256,5256,0,0,1052,1053
2026-03-06,5256,5256,5256,0,0,1052,1053
2026-03-07,5256,5256,5256,0,0,1052,1053
2026-03-08,5256,5256,5256,0,0,1052,1053
2026-03-09,5256,5256,5256,0,0,1052,1053
