snapshot_date,rows,entities,null_comp,null_share,pct_no_composite
2005-01-01,2632,2632,1599,1599,60.752279635258354
2005-01-02,2632,2632,1599,1599,60.752279635258354
2005-01-03,2630,2630,1597,1597,60.72243346007604
2005-01-04,2630,2630,1597,1597,60.72243346007604
2005-01-05,2630,2630,1597,1597,60.72243346007604
2005-01-06,2631,2631,1598,1598,60.73736221968833
2005-01-07,2632,2632,1598,1598,60.71428571428571
2005-01-08,2632,2632,1598,1598,60.71428571428571
2005-01-09,2632,2632,1598,1598,60.71428571428571
2005-01-10,2632,2632,1598,1598,60.71428571428571
2005-01-11,2632,2632,1598,1598,60.71428571428571
2005-01-12,2632,2632,1598,1598,60.71428571428571
2005-01-13,2633,2633,1599,1599,60.729206228636535
2005-01-14,2633,2633,1599,1599,60.729206228636535
2005-01-15,2633,2633,1599,1599,60.729206228636535
2005-01-16,2633,2633,1599,1599,60.729206228636535
2005-01-17,2633,2633,1599,1599,60.729206228636535
2005-01-18,2633,2633,1599,1599,60.729206228636535
2005-01-19,2635,2635,1601,1601,60.75901328273245
2005-01-20,2635,2635,1601,1601,60.75901328273245
2005-01-21,2635,2635,1599,1599,60.6831119544592
2005-01-22,2635,2635,1599,1599,60.6831119544592
2005-01-23,2635,2635,1599,1599,60.6831119544592
2005-01-24,2633,2633,1598,1598,60.69122673756172
2005-01-25,2633,2633,1598,1598,60.69122673756172
2005-01-26,2633,2633,1598,1598,60.69122673756172
2005-01-27,2638,2638,1602,1602,60.72782410917361
2005-01-28,2639,2639,1602,1602,60.70481242895036
2005-01-29,2639,2639,1602,1602,60.70481242895036
2005-01-30,2639,2639,1602,1602,60.70481242895036
2005-01-31,2639,2639,1602,1602,60.70481242895036
2005-02-01,2639,2639,1602,1602,60.70481242895036
2005-02-02,2639,2639,1602,1602,60.70481242895036
2005-02-03,2638,2638,1601,1601,60.68991660348749
2005-02-04,2640,2640,1603,1603,60.71969696969697
2005-02-05,2640,2640,1603,1603,60.71969696969697
2005-02-06,2640,2640,1603,1603,60.71969696969697
2005-02-07,2639,2639,1602,1602,60.70481242895036
2005-02-08,2638,2638,1601,1601,60.68991660348749
2005-02-09,2641,2641,1602,1602,60.65884134797426
2005-02-10,2643,2643,1603,1603,60.65077563374953
2005-02-11,2644,2644,1603,1603,60.627836611195164
2005-02-12,2644,2644,1603,1603,60.627836611195164
2005-02-13,2644,2644,1603,1603,60.627836611195164
2005-02-14,2644,2644,1603,1603,60.627836611195164
2005-02-15,2646,2646,1604,1604,60.61980347694633
2005-02-16,2647,2647,1605,1605,60.634680770683794
2005-02-17,2648,2648,1605,1605,60.61178247734139
2005-02-18,2648,2648,1605,1605,60.61178247734139
2005-02-19,2648,2648,1605,1605,60.61178247734139
2005-02-20,2648,2648,1605,1605,60.61178247734139
2005-02-21,2648,2648,1605,1605,60.61178247734139
2005-02-22,2647,2647,1604,1604,60.59690215338118
2005-02-23,2645,2645,1602,1602,60.567107750472594
2005-02-24,2646,2646,1602,1602,60.544217687074834
2005-02-25,2646,2646,1602,1602,60.544217687074834
2005-02-26,2646,2646,1602,1602,60.544217687074834
2005-02-27,2646,2646,1602,1602,60.544217687074834
