ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,list_date,delisted_utc,last_updated_utc,snapshot_date,entity_id,exchange_priority,has_composite_figi,has_share_class_figi,has_list_date,cut_frequency,first_seen_date,last_seen_date,latest_active,status_confidence,status
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000BWQYZ5,BBG001SCTQY4,,,2024-12-03T22:23:59.247885Z,2022-02-08,BBG000BWQYZ5,1,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
AA,"Alcoa, Inc.",stocks,us,XNYS,CS,True,usd,0000004281,,,,,2025-01-15T15:39:59.814074Z,2016-10-31,AA|XNYS,1,0,0,0,daily,2005-01-01,2016-10-31,True,high,inactive
AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,BBG000B9XRY4,BBG001S5N8V8,,,2026-03-06T07:08:17.586403408Z,2026-03-09,BBG000B9XRY4,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
ABT,Abbott Laboratories,stocks,us,XNYS,CS,True,usd,0000001800,BBG000B9ZXB4,BBG001S5N9M6,,,2026-03-06T07:08:17.58642552Z,2026-03-09,BBG000B9ZXB4,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
ACN,Accenture PLC,stocks,us,XNYS,CS,True,usd,0001467373,,,,,2026-03-06T07:08:17.586436311Z,2026-03-09,ACN|XNYS,1,0,0,0,daily,2005-01-01,2026-03-09,True,high,active
ADBE,Adobe Inc.,stocks,us,XNAS,CS,True,usd,0000796343,BBG000BB5006,BBG001S5NCQ5,,,2026-03-06T07:08:17.586445979Z,2026-03-09,BBG000BB5006,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
ADI,"Analog Devices, Inc.",stocks,us,XNAS,CS,True,usd,0000006281,BBG000BB6G37,BBG001S5ND38,,,2026-03-06T07:08:17.586447181Z,2026-03-09,BBG000BB6G37,0,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
ADM,Archer Daniels Midland Company,stocks,us,XNYS,CS,True,usd,0000007084,BBG000BB6WG8,BBG001S5ND74,,,2026-03-06T07:08:17.586447783Z,2026-03-09,BBG000BB6WG8,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
ADP,Automatic Data Processing,stocks,us,XNAS,CS,True,usd,0000008670,BBG000GZ3B88,BBG001S82KF6,,,2024-12-03T22:23:59.247385Z,2022-02-08,BBG000GZ3B88,0,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
ADSK,Autodesk Inc,stocks,us,XNAS,CS,True,usd,0000769397,BBG000BM7HL0,BBG001S5SCD4,,,2026-03-06T07:08:17.586449676Z,2026-03-09,BBG000BM7HL0,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
AEE,Ameren Corporation,stocks,us,XNYS,CS,True,usd,0001002910,BBG000B9X8C0,BBG001S5NF24,,,2026-03-06T07:08:17.586452652Z,2026-03-09,BBG000B9X8C0,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AEM,Agnico Eagle Mines Ltd.,stocks,us,XNYS,CS,True,usd,0000002809,BBG000CZ8PQ6,BBG001S77MK3,,,2024-12-03T22:23:59.246698Z,2022-02-08,BBG000CZ8PQ6,1,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
AEP,"American Electric Power Company, Inc.",stocks,us,XNAS,CS,True,usd,0000004904,BBG000BB9KF2,BBG001S5NFD2,,,2026-03-06T07:08:17.586455106Z,2026-03-09,BBG000BB9KF2,0,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AES,AES Corporation,stocks,us,XNYS,CS,True,usd,0000874761,BBG000C23KJ3,BBG001S6B1L5,,,2026-03-06T07:08:17.586455828Z,2026-03-09,BBG000C23KJ3,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AFL,Aflac Inc.,stocks,us,XNYS,CS,True,usd,0000004977,BBG000BBBNC6,BBG001S5NGJ4,,,2026-03-06T07:08:17.586459214Z,2026-03-09,BBG000BBBNC6,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AG,FIRST MAJESTIC SILVER CORP,stocks,us,XNYS,CS,True,usd,0001308648,BBG000CH7LR5,BBG001SGV444,,,2024-12-03T22:23:59.248043Z,2022-02-08,BBG000CH7LR5,1,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
AIG,AMERICAN INTL GROUP INC,stocks,us,XNYS,CS,True,usd,0000005272,,,,,2025-01-16T17:37:18.280225Z,2009-07-01,AIG|XNYS,1,0,0,0,daily,2005-01-01,2009-07-01,True,high,inactive
AKAM,Akamai Technologies Inc,stocks,us,XNAS,CS,True,usd,0001086222,BBG000BJQWD2,BBG001S7YHX0,,,2026-03-06T07:08:17.586486396Z,2026-03-09,BBG000BJQWD2,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
ALL,The Allstate Corporation,stocks,us,XNYS,CS,True,usd,0000899051,BBG000BLZ8J4,BBG001S9BM06,,,2024-12-03T22:23:59.248043Z,2022-02-08,BBG000BLZ8J4,1,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
AMAT,Applied Materials Inc,stocks,us,XNAS,CS,True,usd,0000006951,BBG000BBPFB9,BBG001S5NMM7,,,2026-03-06T07:08:17.586505002Z,2026-03-09,BBG000BBPFB9,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
AMD,Advanced Micro Devices,stocks,us,XNAS,CS,True,usd,0000002488,BBG000BBQCY0,BBG001S5NN36,,,2026-03-06T07:08:17.586506945Z,2026-03-09,BBG000BBQCY0,0,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AMGN,Amgen Inc,stocks,us,XNAS,CS,True,usd,0000318154,BBG000BBS2Y0,BBG001S5NNL6,,,2026-03-06T07:08:17.586508378Z,2026-03-09,BBG000BBS2Y0,0,1,1,0,daily,2016-10-25,2026-03-09,True,high,active
AMT,AMERICAN TOWER CORP,stocks,us,XNYS,CS,True,usd,0001053507,,,,,2025-01-15T22:47:29.346753Z,2012-01-03,AMT|XNYS,1,0,0,0,daily,2005-01-01,2012-01-03,True,high,inactive
AMX,"AMERICA MOVIL, S.A.B. DE C.V. ADS REPTGS 20 SR L SHS",stocks,us,XNYS,CS,True,usd,0001129137,BBG000CYPVX9,BBG001SGW6H4,,,2025-01-15T16:53:40.662357Z,2016-10-24,BBG000CYPVX9,1,1,1,0,daily,2005-01-01,2016-10-24,True,high,inactive
AMZN,Amazon.Com Inc,stocks,us,XNAS,CS,True,usd,0001018724,BBG000BB0MN8,BBG001S5PQL7,,,2024-12-03T22:23:59.247117Z,2022-02-08,BBG000BB0MN8,0,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
ANF,Abercrombie & Fitch Co.,stocks,us,XNYS,CS,True,usd,0001018840,BBG000H9G7X2,BBG001S97027,,,2026-03-06T07:08:17.586520722Z,2026-03-09,BBG000H9G7X2,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
APA,Apache Corporation,stocks,us,XNYS,CS,True,usd,0000006769,BBG000BC2C10,BBG001S5NS17,,,2025-07-16T20:56:23.00011483Z,2019-09-24,BBG000BC2C10,1,1,1,0,daily,2016-05-18,2019-09-24,True,high,inactive
ATI,Allegheny Technologies,stocks,us,XNYS,CS,True,usd,0001018963,BBG000GLTDX9,BBG001S8WY72,,,2024-12-03T22:23:59.248486Z,2022-02-08,BBG000GLTDX9,1,1,1,0,daily,2022-02-08,2022-02-08,True,high,inactive
AU,AngloGold Ashanti plc,stocks,us,XNYS,CS,True,usd,0001973832,,,,,2026-03-06T07:08:17.586571989Z,2026-03-09,AU|XNYS,1,0,0,0,daily,2016-05-18,2026-03-09,True,high,active
AXP,American Express Company,stocks,us,XNYS,CS,True,usd,0000004962,BBG000BCQZS4,BBG001S5P034,,,2026-03-06T07:08:17.586583632Z,2026-03-09,BBG000BCQZS4,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
AZN,AstraZeneca PLC,stocks,us,XNYS,CS,True,usd,0000901832,,,,,2026-03-06T07:08:17.586585235Z,2026-03-09,AZN|XNYS,1,0,0,0,daily,2026-02-02,2026-03-09,True,high,active
BA,Boeing Company,stocks,us,XNYS,CS,True,usd,0000012927,BBG000BCSST7,BBG001S5P0V3,,,2026-03-06T07:08:17.586586106Z,2026-03-09,BBG000BCSST7,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
BAC,Bank of America Corporation,stocks,us,XNYS,CS,True,usd,0000070858,BBG000BCTLF6,BBG001S5P0Y0,,,2026-03-06T07:08:17.586586818Z,2026-03-09,BBG000BCTLF6,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
BAX,Baxter International Inc.,stocks,us,XNYS,CS,True,usd,0000010456,BBG000BCVJ77,BBG001S5P1K3,,,2026-03-06T07:08:17.586595735Z,2026-03-09,BBG000BCVJ77,1,1,1,0,daily,2005-01-01,2026-03-09,True,high,active
BBD,BANCO BRADESCO ADS REP ONE PFD SH,stocks,us,XNYS,CS,True,usd,0001160330,BBG000BS6WW3,BBG001SF7657,,,2025-01-15T16:53:40.662058Z,2016-10-24,BBG000BS6WW3,1,1,1,0,daily,2005-01-01,2016-10-24,True,high,inactive
